alkyl_chain,DP1_formula,DP1_avg_MW_g_mol,DP1_exact_neutral_mass,DP1_expected_M_plus_Na_mz,DP2_formula,DP2_avg_MW_g_mol,DP2_expected_M_plus_Na_mz,oligomer_mass_increment_Da,water_released_per_glycosidic_bond_g_mol,theoretical_DP1_product_kg_per_1kg_glucose_at_100pct
C8,C14H28O6,292.372,292.188589,315.178358,C20H38O11,454.513,477.231181,162.052823,18.015,1.6229
C10,C16H32O6,320.426,320.219889,343.209658,C22H42O11,482.567,505.262481,162.052823,18.015,1.7786
C12,C18H36O6,348.48,348.251189,371.240958,C24H46O11,510.621,533.293782,162.052823,18.015,1.9343
C14,C20H40O6,376.534,376.282489,399.272258,C26H50O11,538.675,561.325082,162.052823,18.015,2.09
C16,C22H44O6,404.588,404.313789,427.303558,C28H54O11,566.729,589.356382,162.052823,18.015,2.2458
